"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Gonzalez-Urango H.; Pira M.L.; Inturri G.; Ignaccolo M.; García-Melón M.","Gonzalez-Urango, Hannia (57194062509); Pira, Michela Le (56780165600); Inturri, Giuseppe (14054058500); Ignaccolo, Matteo (57194223129); García-Melón, Mónica (21740845600)","57194062509; 56780165600; 14054058500; 57194223129; 21740845600","Designing walkable streets in congested touristic cities: The case of Cartagena de Indias, Colombia","2020","Transportation Research Procedia","45","","","309","316","19","10.1016/j.trpro.2020.03.021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083443644&doi=10.1016%2Fj.trpro.2020.03.021&partnerID=40&md5=11a72ca671313b9ffcd0903380bf0690","Ingenio (CSIC- UPV), Universitat Politècnica de València, C.P. de la 6 I, Edif 8E 4, Camino de Vera s/n, Valencia, Spain; Universidad Simón Bolívar, Barranquilla, Colombia; Department of Civil Engineering and Architecture, University of Catania, Via Santa Sofia 64, Catania, 95125, Italy; Department of Electric, Electronic and Computer Engineering, University of Catania, Via Santa Sofia 64, Catania, 95125, Italy","Gonzalez-Urango H., Ingenio (CSIC- UPV), Universitat Politècnica de València, C.P. de la 6 I, Edif 8E 4, Camino de Vera s/n, Valencia, Spain, Universidad Simón Bolívar, Barranquilla, Colombia; Pira M.L., Department of Civil Engineering and Architecture, University of Catania, Via Santa Sofia 64, Catania, 95125, Italy; Inturri G., Department of Electric, Electronic and Computer Engineering, University of Catania, Via Santa Sofia 64, Catania, 95125, Italy; Ignaccolo M., Department of Civil Engineering and Architecture, University of Catania, Via Santa Sofia 64, Catania, 95125, Italy; García-Melón M., Ingenio (CSIC- UPV), Universitat Politècnica de València, C.P. de la 6 I, Edif 8E 4, Camino de Vera s/n, Valencia, Spain","This paper presents the case of Cartagena de Indias, a well-known international touristic destination in Colombia, which experiences serious problems of traffic congestion and accessibility to the city center. Promoting pedestrian mobility is one of the public administration's main goals, by enhancing and re-designing different pedestrian paths. Designing pedestrian zones is a context-specific multifaceted problem that involves multiple stakeholders and multiple criteria. A participatory multicriteria approach based on the Analytic Network Process (ANP) has been used to understand the most important characteristics affecting pedestrian mobility in Cartagena de Indias, thus deriving a useful decision-support tool for planning and designing pedestrian paths. In this respect, in this paper a set of streets in the city center has been evaluated, by combining the results of ANP with spatial data using Geographic Information Systems (GIS), producing thematic maps and an index of pedestrian priority to derive a priority of intervention. Some streets have been redesigned with the aim to increase their walking attractiveness. Results put the basis for discussion with local administration and stakeholders to validate them and propose further applications of the methodology. © 2020 The Author(s).","Analytic Network Process; Multicriteria evaluation approach; pedestrian mobility; pedestrian street design","","M.L. Pira; Department of Civil Engineering and Architecture, University of Catania, Catania, Via Santa Sofia 64, 95125, Italy; email: mlepira@dica.unict.it","Ignaccolo M.; Tiboni M.","Elsevier B.V.","23521457","","","","English","Transp. Res. Procedia","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85083443644"
"Vergel-Tovar C.E.","Vergel-Tovar, C. Erik (57191429646)","57191429646","The environment around bus rapid transit stops in Indore and Ahmedabad, India","2025","Journal of Urbanism","18","2","","216","239","3","10.1080/17549175.2022.2123379","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138243824&doi=10.1080%2F17549175.2022.2123379&partnerID=40&md5=69e2bb51bc3e06a67ca8eac84e0c76e5","Department of Architecture, School of Architecture and Design, Universidad de los Andes, Bogotá, Colombia","Vergel-Tovar C.E., Department of Architecture, School of Architecture and Design, Universidad de los Andes, Bogotá, Colombia","An understanding of the environment around transit stops provides useful information concerning key urban design features that can promote sustainable urban development and mass transit systems. Although several researchers have analysed the associations between the built environment and transit ridership for rail-based systems, few have examined this relationship for Bus Rapid Transit systems. This research expands in India the data collection and the analysis of direct demand models I previously tested in Latin America by examining associations between built environment attributes and BRT ridership in Indore and Ahmedabad. I found positive associations for high-quality pedestrian environments, the level of non-motorized transport friendliness and the presence of affordable housing. However, I found negative associations for vacant land, low urban density, and large blocks. My findings suggest the importance of a high-quality pedestrian infrastructure and the necessity of the presence of affordable housing to make BRT systems more sustainable. © 2022 Informa UK Limited, trading as Taylor & Francis Group.","built environment; Bus rapid transit BRT; India; ridership; transit-Oriented development","","C.E. Vergel-Tovar; Department of Architecture, School of Architecture and Design, Universidad de los Andes, Bogotá, Colombia; email: c.vergel@uniandes.edu.co","","Routledge","17549175","","","","English","J. Urban.","Article","Final","","Scopus","2-s2.0-85138243824"
"Herrmann-Lunecke M.G.; Mora R.; Vejares P.","Herrmann-Lunecke, Marie Geraldine (57211440765); Mora, Rodrigo (23390674000); Vejares, Paloma (57221726523)","57211440765; 23390674000; 57221726523","Perception of the built environment and walking in pericentral neighbourhoods in Santiago, Chile","2021","Travel Behaviour and Society","23","","","192","206","97","10.1016/j.tbs.2021.01.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100277785&doi=10.1016%2Fj.tbs.2021.01.002&partnerID=40&md5=7feabe9dca66cd5f8a154290fddc3b64","Universidad de Chile, Portugal 84, Santiago, Chile; Universidad Diego Portales, República 180, Santiago, Chile","Herrmann-Lunecke M.G., Universidad de Chile, Portugal 84, Santiago, Chile; Mora R., Universidad de Chile, Portugal 84, Santiago, Chile; Vejares P., Universidad Diego Portales, República 180, Santiago, Chile","Walking is important as a sustainable and healthy transport mode. Yet, walking is strongly influenced by the built environment and the socio-cultural characteristics of the walker. However, the impact of the built environment on walking and “walkers” has scarcely been studied in a Latin American context, such as Chile. This research explores which elements of the built environment ease and, contrarily, which elements hinder walking in six pericentral neighbourhoods in Santiago, Chile, according to self-reported walking experiences of local residents of different socioeconomic backgrounds, ages and genders. Through “walking interviews” with one hundred and twenty residents conducted during spring 2018, this article examines how walkers perceive elements of the built environment and how those elements elicit emotions, affecting people's travel behaviour. Self-reports from walkers reveal that the presence of trees, wide sidewalks and active uses ease walking, eliciting wellbeing and happiness. On the contrary, residents declare that traffic noise, motorized traffic, narrow and deteriorated sidewalks, and difficult crossings hinder walking, especially for older adults and women, causing them stress, fear and anger. Finally, this article reflects upon how walking can be promoted through a more pedestrian-friendly design of the built environment, by considering self-reported walking experiences of local residents. © 2021 Hong Kong Society for Transportation Studies","Built environment; Chile; Perception; Walkability; Walking; Walking interviews","","M.G. Herrmann-Lunecke; Universidad de Chile, Santiago, Portugal 84, Chile; email: mherrmann@uchile.cl","","Elsevier Ltd","2214367X","","","","English","Travel Behav. Soc.","Article","Final","","Scopus","2-s2.0-85100277785"
"Israel F.; Otero G.; Soza-Parra J.; Broitman D.","Israel, Fabian (58687857000); Otero, Gabriel (57188665376); Soza-Parra, Jaime (57202865460); Broitman, Dani (37561139500)","58687857000; 57188665376; 57202865460; 37561139500","15-minute city, proximity, and urban segregation in Latin-American cities: The case of Santiago de Chile","2026","Transportation Research Part A: Policy and Practice","204","","104789","","","1","10.1016/j.tra.2025.104789","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022639443&doi=10.1016%2Fj.tra.2025.104789&partnerID=40&md5=b4dd7fcacce07ae25f15e0fff544f836","Faculty of Geosciences, Department of Human Geography and Planning, Utrecht University, Utrecht, Netherlands; School of Sociology, Universidad Diego Portales, Santiago, Chile; Faculty of Architecture and Town Planning, Technion – Israel institute of Technology, Technion City, Haifa, 3200003, Israel","Israel F., Faculty of Geosciences, Department of Human Geography and Planning, Utrecht University, Utrecht, Netherlands, Faculty of Architecture and Town Planning, Technion – Israel institute of Technology, Technion City, Haifa, 3200003, Israel; Otero G., School of Sociology, Universidad Diego Portales, Santiago, Chile; Soza-Parra J., Faculty of Geosciences, Department of Human Geography and Planning, Utrecht University, Utrecht, Netherlands; Broitman D., Faculty of Architecture and Town Planning, Technion – Israel institute of Technology, Technion City, Haifa, 3200003, Israel","The 15-minute city concept aims to address some of the most pressing modern urban challenges, such as transport sustainability, territorial inequality, and social segregation. Despite the acknowledged environmental, social, and economic benefits of the 15-minute city, particularly for local sustainable development, some of its methodological and conceptual aspects have been subject to scholarly scrutiny. One of these key issues is the unclear interaction between 15-minute city planning principles and existing urban segregation. This is a particularly pertinent concern in cities with stark socioeconomic divides, like many in Latin America. To explore this topic, the main goal of this paper is to examine how walkable access to essential facilities and services varies according to the socioeconomic conditions of different areas in Santiago de Chile, one of the most segregated urban environments in Latin America. We use georeferenced data at the urban block level to assess the proximity to various services and facilities, including green spaces, healthcare centers, educational institutions, cultural establishments, and commercial areas. Our analysis reveals distinct spatial distribution patterns of urban amenities in the metropolitan area. Specifically, public services and cultural institutions are concentrated in the city center, while sports facilities are found predominantly in the urban periphery, and educational establishments are more evenly distributed across the city. Interestingly, residents of middle-low and middle class areas enjoy a higher variety of proximity to urban amenities than those living in affluent and poor areas. This is, among other factors, a consequence of real estate and urban planning deregulation and long-lasting self-segregation trends of the affluent urban population. These findings underscore the potential and challenges of implementing the 15-minute city concept to create more inclusive and integrated urban spaces in Latin American cities. © 2025 The Author(s)","15-minute city; Latin America; Residential segregation; Spatial inequality; Transport sustainability; Walkability","Chile; Metropolitana; Santiago [Metropolitana]; Deregulation; Economic and social effects; Economics; Segregation (metallography); Sustainable city; Urban planning; Urban transportation; 15-minute city; Latin America; Latin americans; Pressung; Residential segregation; Santiago de Chile; Spatial inequality; Transport sustainability; Urban segregations; Walkability; accessibility; social segregation; socioeconomic conditions; spatial distribution; sustainability; urban planning; walking; Sustainable development","F. Israel; Faculty of Geosciences, Department of Human Geography and Planning, Utrecht University, Utrecht, Netherlands; email: fabi19381@gmail.com","","Elsevier Ltd","09658564","","","","English","Transp. Res. Part A Policy Pract.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105022639443"
"Sallam I.; Hafiz D.","Sallam, Islam (56976248700); Hafiz, Dalia (57224867282)","56976248700; 57224867282","Brasilia Syndrome Versus Humanizing Urban Spaces: A Controversial Discourse Over Human Scale in Urban Planning and Design","2024","Studies in Systems, Decision and Control","569","","","629","639","0","10.1007/978-3-031-71649-2_53","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218762792&doi=10.1007%2F978-3-031-71649-2_53&partnerID=40&md5=4c890508b8f4f31d824b087683f4c7ab","College of Engineering and Architecture, University of Nizwa, Nizwa, Oman; Ajman University, Ajman, United Arab Emirates","Sallam I., College of Engineering and Architecture, University of Nizwa, Nizwa, Oman; Hafiz D., Ajman University, Ajman, United Arab Emirates","Brasilia Syndrome (also called Helicopter Urbanism) is a terminology introduced by Jan Gеhl to characterize urban planning methodologies that prioritize aerial aesthetics over the lived experience of neighborhoods’ inhabitants. Such strategies, which gained prominence in the 1950s, led to visually striking cityscapes from an elevated perspective. This paper investigates the Brasilia Syndrome (BS) concept and its implications on urban layout, mainly focusing on integrating human-scale factors with a particular focus on Gulf region cities. The phenomenon, coined in connection with the city of Brasilia, Brazil, represents the stressful conditions related to city planning that neglect human needs in favor of implementing architectural and urban designs with intended pre-planned aerial aesthetics. It explores the theoretical underpinnings of (BS) through an interdisciplinary literature on urban studies, theory, psychology, and sociology with examples from the Gulf region. Furthermore, it explores the importance of human scale factors, namely walkability, landscaping, use of public spaces, and pedestrian-oriented planning in creating livable, and sustainable urban spaces. This paper clarifies the unfavorable consequences of disregarding human-scale worries in city/neighborhood layouts through a comparative assessment of case studies with empirical evidence. Finally, this study concludes the adverse repercussions of neglecting human scale in urban design and planning projects, notably observed in some Gulf region cities. It reveals the pervasive influence of Brasilia Syndrome (BS) over human needs, resulting in fragmented neighborhood, insufficient walkability, neighborhood segregation along highways, and inadequate public spaces. The research findings offer insights for policymakers, urban planners, architects, and researchers vibrant and sustainable cities and neighborhoods that consider its residents. Knowledge and disseminate information. Digital networks increase communication as well as allow people, regions and nations to collaborate and share information aiming at fostering growth and sustaining development. For developing countries, external knowledge enhances the economy readiness to diversify output, create employment opportunities and improve global competitiveness. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Brasilia syndrome; Gulf cities; Human-scale; Urban design; Urban planning; Urban planning strategies","","I. Sallam; College of Engineering and Architecture, University of Nizwa, Nizwa, Oman; email: isallam@unizwa.edu.om","","Springer Science and Business Media Deutschland GmbH","21984182","","","","English","Stud. Syst. Decis. Control","Book chapter","Final","","Scopus","2-s2.0-85218762792"
"Herrmann-Lunecke M.G.; Mora R.; Sagaris L.","Herrmann-Lunecke, Marie Geraldine (57211440765); Mora, Rodrigo (23390674000); Sagaris, Lake (36549089500)","57211440765; 23390674000; 36549089500","Persistence of walking in Chile: lessons for urban sustainability","2020","Transport Reviews","40","2","","135","159","80","10.1080/01441647.2020.1712494","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078597807&doi=10.1080%2F01441647.2020.1712494&partnerID=40&md5=8bb34694eb7aa9c22a7d46c8cb5e8075","Escuela de Arquitectura, Universidad Diego Portales, Santiago, Chile; Departamento de Ingeniería de Transporte y Logística, Pontificia Universidad Católica de Chile, Santiago, Chile","Herrmann-Lunecke M.G., Escuela de Arquitectura, Universidad Diego Portales, Santiago, Chile; Mora R., Escuela de Arquitectura, Universidad Diego Portales, Santiago, Chile; Sagaris L., Departamento de Ingeniería de Transporte y Logística, Pontificia Universidad Católica de Chile, Santiago, Chile","An extensive body of work from the urban planning, health, and other disciplines has documented the importance of walking to urban sustainability from health, safety, security, environmental and other perspectives. These studies come mainly from countries in North America and Europe, where the majority of the population relies on cars for transportation. Notwithstanding, in many countries in the Global South, walking remains a majority transport mode, while cars increasingly dominate the urban streetscape, but are accessible only to a minority of the population. Chile provides fertile terrain for studying this phenomenon. This article reviews current practice and recent research of walking in Chile, in light of international findings regarding walkability, equity and urban sustainability. To elaborate an overview of the depth and breadth of walking in Chile, an interdisciplinary team conducted a literature review, examined relevant case study material from experience from Chile and in particular from Santiago, and triangulated this mainly qualitative data with results from the origin-destination survey applied in Chile’s main cities, Chilean traffic safety data) and results from official transport reports of other Latin American cities [Tirachini, A. (2019). South America: The challenge of transition. In J. Stanley & D. Hensher (Eds.), A research agenda for transport policy. Northampton, MA: Edward Elgar Publishing]. Findings show that despite priority public investments that have largely prioritised infrastructure for cars, walking in Chile has remained as the majority transport mode up until today, especially for lower-middle income groups, and particularly for care-related tasks performed mainly by women. In this sense, walking in Chile has proven remarkably persistent. The importance of walking as the main transport mode, against the odds, reflects economic, cultural, and urban form determinants, which are explored in this article. Furthermore, a recent upsurge in public interest and community design initiatives to improve walking, particularly the generation of a Chilean approach to “complete streets” has emerged, opening up opportunities to challenge Chile’s version of automobility in favour of more equitable, active and public transportation modes. There is, therefore, in Chile an opportunity to prioritise the walking mode, improve infrastructure for walkers and build from preserving current high pedestrian modal shares, rather than having to reverse widespread car use, as occurs in many countries in Europe and North America. This potential is highly relevant as these conditions are similar to those in other Latin American cities and, potentially, other cities elsewhere in the Global South. © 2020, © 2020 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","Chile; equity; Santiago; urban planning; walkability; Walking","Chile; Latin America; Metropolitana; Santiago [Metropolitana]; accessibility; car use; equity; minority group; transportation policy; urban planning; walking","M.G. Herrmann-Lunecke; Escuela de Arquitectura, Universidad Diego Portales, Santiago, Chile; email: geraldine.herrmann@udp.cl","","Routledge","01441647","","","","English","Transp. Rev.","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85078597807"
"Plata-Salinas E.-O.; Trejo-Arriaga R.-G.; Hernández-Hernández A.; Ruiz-Enriquez A.; Juárez-Botello J.-A.; Zagal-Flores R.; Claramunt C.; Moreno-González I.","Plata-Salinas, Eidan-Owen (60199376100); Trejo-Arriaga, Rodrigo-Gerardo (60199534800); Hernández-Hernández, Angel (60200319700); Ruiz-Enriquez, Alexandro (60168415100); Juárez-Botello, Josué-Adalid (60199694200); Zagal-Flores, Roberto (57188733665); Claramunt, Christophe (56054279900); Moreno-González, Isaías (60199694300)","60199376100; 60199534800; 60200319700; 60168415100; 60199694200; 57188733665; 56054279900; 60199694300","Itzamná: A Prototype for Accessible Mobility Analysis with AI Using Sensor Data","2026","Communications in Computer and Information Science","2705 CCIS","","","339","355","0","10.1007/978-3-032-09738-5_23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022210152&doi=10.1007%2F978-3-032-09738-5_23&partnerID=40&md5=ab4af02b9473d0ab705d7b2056dcb894","Laboratorio de Datos Urbanos (UrbanDataLab), Escuela Superior de Cómputo (ESCOM), Instituto Politécnico Nacional (IPN), UPALM-Zacatenco, Mexico City, 07320, Mexico; Naval Academy Research Institute, Lanvéoc, 29240, France; Universidad Autónoma del Estado de México, Estado de Mexico, Toluca de Lerdo, Mexico","Plata-Salinas E.-O., Laboratorio de Datos Urbanos (UrbanDataLab), Escuela Superior de Cómputo (ESCOM), Instituto Politécnico Nacional (IPN), UPALM-Zacatenco, Mexico City, 07320, Mexico; Trejo-Arriaga R.-G., Laboratorio de Datos Urbanos (UrbanDataLab), Escuela Superior de Cómputo (ESCOM), Instituto Politécnico Nacional (IPN), UPALM-Zacatenco, Mexico City, 07320, Mexico; Hernández-Hernández A., Laboratorio de Datos Urbanos (UrbanDataLab), Escuela Superior de Cómputo (ESCOM), Instituto Politécnico Nacional (IPN), UPALM-Zacatenco, Mexico City, 07320, Mexico; Ruiz-Enriquez A., Laboratorio de Datos Urbanos (UrbanDataLab), Escuela Superior de Cómputo (ESCOM), Instituto Politécnico Nacional (IPN), UPALM-Zacatenco, Mexico City, 07320, Mexico; Juárez-Botello J.-A., Laboratorio de Datos Urbanos (UrbanDataLab), Escuela Superior de Cómputo (ESCOM), Instituto Politécnico Nacional (IPN), UPALM-Zacatenco, Mexico City, 07320, Mexico; Zagal-Flores R., Laboratorio de Datos Urbanos (UrbanDataLab), Escuela Superior de Cómputo (ESCOM), Instituto Politécnico Nacional (IPN), UPALM-Zacatenco, Mexico City, 07320, Mexico; Claramunt C., Naval Academy Research Institute, Lanvéoc, 29240, France; Moreno-González I., Universidad Autónoma del Estado de México, Estado de Mexico, Toluca de Lerdo, Mexico","This paper presents Itzamná, a prototype designed to improve pedestrian accessibility in urban environments through the integration of sensor data, Artificial Intelligence (AI), and citizen participation. Focused on Mexico City’s aging population and infrastructure challenges, the methodology combines LiDAR and RGB imagery with a participatory platform to detect and classify sidewalk conditions. Deep Learning models analyze surface irregularities and obstacles, generating georeferenced insights to support inclusive urban planning. Preliminary results from the Zacatenco campus reveal that 87.4% of detected issues are uneven surfaces, underscoring the need for targeted interventions. By merging low-cost technologies with community engagement, Itzamná offers a replicable framework for assessing and visualizing pedestrian mobility risks, contributing to urban well-being strategies in emerging cities. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.","Citizen Science; Geospatial Accessibility Analysis; Pedestrian Mobility; Urban IA; Urban Well-Being","Deep learning; Citizen science; Geo-spatial; Geospatial accessibility analyze; Mobility analysis; Pedestrian mobility; Sensors data; Urban environments; Urban IA; Urban well-being; Well being; Urban planning","R. Zagal-Flores; Laboratorio de Datos Urbanos (UrbanDataLab), Escuela Superior de Cómputo (ESCOM), Instituto Politécnico Nacional (IPN), UPALM-Zacatenco, Mexico City, 07320, Mexico; email: rzagalf@ipn.mx","Mata-Rivera M.F.; Zagal-Flores R.; Barria-Huidobro C.","Springer Science and Business Media Deutschland GmbH","18650929","978-303209737-8","","","English","Commun. Comput. Info. Sci.","Conference paper","Final","","Scopus","2-s2.0-105022210152"
"Resendiz E.; Whitney R.A.; Ponce-López R.","Resendiz, Eugen (57204770421); Whitney, Ryan Anders (57215028112); Ponce-López, Roberto (57205704459)","57204770421; 57215028112; 57205704459","Mapping the actors: Anchor institutions and walkability projects in Southern Mexico City","2025","Geoforum","166","","104395","","","0","10.1016/j.geoforum.2025.104395","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015068806&doi=10.1016%2Fj.geoforum.2025.104395&partnerID=40&md5=2e09126c61c143d86eb5280d1436ef1c","Tecnologico de Monterrey, School of Architecture, Art and Design, Mexico City, Mexico; Tecnologico de Monterrey, Center for the Future of Cities, Monterrey, Mexico; Tecnologico de Monterrey, School of Government and Public Transformation, Monterrey, Mexico","Resendiz E., Tecnologico de Monterrey, School of Architecture, Art and Design, Mexico City, Mexico, Tecnologico de Monterrey, Center for the Future of Cities, Monterrey, Mexico; Whitney R.A., Tecnologico de Monterrey, School of Architecture, Art and Design, Mexico City, Mexico, Tecnologico de Monterrey, Center for the Future of Cities, Monterrey, Mexico; Ponce-López R., Tecnologico de Monterrey, Center for the Future of Cities, Monterrey, Mexico, Tecnologico de Monterrey, School of Government and Public Transformation, Monterrey, Mexico","Anchor institutions are playing an increasingly prominent role in urban development and revitalization efforts across Latin American cities, including initiatives to enhance walkability. An anchor institution is a large, locally rooted organization (e.g., a hospital, university, etc.) whose long-term sustainability is tied to the wellbeing of the community it serves, playing a significant role in shaping that community's development. While the role of anchor institutions in urban revitalization has been well-documented in the global North, their influence in the global South, including in walkability projects, remains understudied. This article investigates the actors involved in the walkability interventions proposed by a privately funded urban regeneration initiative from a university anchor institution in southern Mexico City. Drawing on 22 semi-structured interviews and 29 participant observations, 47 actors were identified as being involved with the development and implementation of walkability projects, of which 18 had direct or indirect relationships via the anchor institution. Our findings suggest that the lack of relationships and communication with key stakeholders fosters a disconnect between the lead anchor institution and its ability to coordinate walkability interventions over the long term. We conclude by discussing how the complexity of actor relationships influences walkability efforts, alongside the evolving role of anchor institutions in urban planning and development in Latin America. © 2025 The Author(s)","Actor mapping; Anchor institutions; Governance; Mexico City; Urban planning; Walkability","Federal District [Mexico]; Mexico City; Mexico [North America]; community development; governance approach; mapping; stakeholder; urban development; urban planning","R.A. Whitney; Tecnologico de Monterrey, School of Architecture, Art and Design / Center for the Future of Cities, Mexico City, Calle Puente 222, Coapa, Arboledas del Sur, Tlalpan, 14380, Mexico; email: ryan.whitney@tec.mx","","Elsevier Ltd","00167185","","","","English","Geoforum","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105015068806"
"Baffoe G.; Kintrea K.","Baffoe, Gideon (57195519267); Kintrea, Keith (6603592036)","57195519267; 6603592036","Neighbourhood research in the Global South: What do we know so far?","2023","Cities","132","","104077","","","6","10.1016/j.cities.2022.104077","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143820765&doi=10.1016%2Fj.cities.2022.104077&partnerID=40&md5=53c3b5bef08ebf246d647b9c220881d3","Department of Environment and Geography, University of York, 290 Wentworth Way, Heslington, York, YO10 5NG, United Kingdom; Centre for Sustainable, Healthy and Learning Cities and Neighbourhoods, School of Social and Political Sciences, University of Glasgow, 40 Bute Gardens, Glasgow, G12 8RS, United Kingdom","Baffoe G., Department of Environment and Geography, University of York, 290 Wentworth Way, Heslington, York, YO10 5NG, United Kingdom; Kintrea K., Centre for Sustainable, Healthy and Learning Cities and Neighbourhoods, School of Social and Political Sciences, University of Glasgow, 40 Bute Gardens, Glasgow, G12 8RS, United Kingdom","The subfield within urban studies of neighbourhood research is largely known to be the domain of scholars from the Global North. How the subfield has been studied in the Global South is not well understood in the present literature. This study aims to characterize the field in the Global South using bibliometric analysis in order to understand the scholarship terrain. The paper analyses the publication trend, the extent of collaboration between regions, author productivity, as well as scholarship clusters. The paper finds that the subfield of neighbourhood research in the Global South, is largely dominated by China, given its major role in publication records, institutional contributions and international collaborations, and to a lesser extent, India. Elsewhere, South Africa and Brazil lead in Africa and South America, respectively. The subfield is characterized by five distinct clusters: residential satisfaction, informality and redevelopment, neighbourhood walkability, poverty and inequality, and territoriality. The subfield lacks much research in the areas of neighbourhood economy, neighbourhood effects and change, social exclusion, education and governance, which suggest major gaps in the Global South literature. Research clusters and future research trajectories are also discussed. © 2022 The Authors","Bibliometric analysis; Global South; Neighbourhood; Scholarship; Urban","Africa; Brazil; China; India; South Africa; South America; education; neighborhood; poverty; social exclusion; territoriality; urban area","G. Baffoe; Department of Environment and Geography, University of York, York, 290 Wentworth Way, Heslington, YO10 5NG, United Kingdom; email: gideon.baffoe@york.ac.uk","","Elsevier Ltd","02642751","","","","English","Cities","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85143820765"
"Aristizábal Salazar J.E.; Wagenaars Rincón S.; Escobar García D.A.","Aristizábal Salazar, Juan Esteban (60106154600); Wagenaars Rincón, Santiago (60106154700); Escobar García, Diego Alexander (59454701600)","60106154600; 60106154700; 59454701600","Diverse Opportunity Potential through Geographic Accessibility Modeling as a Basis for Planning towards the 15-Minute City and Spatial Justice","2025","Future Cities and Environment","11","","","","","1","10.70917/fce-2025-033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016489305&doi=10.70917%2Ffce-2025-033&partnerID=40&md5=85ccea1a29c4c56d05b582532d4d3b4b","Grupo de Investigación en Movilidad Sostenible – GIMS, Universidad Nacional de Colombia Sede Manizales, Manizales, 170004, Colombia","Aristizábal Salazar J.E., Grupo de Investigación en Movilidad Sostenible – GIMS, Universidad Nacional de Colombia Sede Manizales, Manizales, 170004, Colombia; Wagenaars Rincón S., Grupo de Investigación en Movilidad Sostenible – GIMS, Universidad Nacional de Colombia Sede Manizales, Manizales, 170004, Colombia; Escobar García D.A., Grupo de Investigación en Movilidad Sostenible – GIMS, Universidad Nacional de Colombia Sede Manizales, Manizales, 170004, Colombia","Many cities are currently rethinking their urban planning with the aim of prioritizing proximity between places of residence and essential services. This approach, promoted mainly in European countries under the concept of the “15-minute city,” seeks to minimize travel times through the use of active modes of transport, such as walking and cycling. To achieve this, a balanced redistribution of urban services is proposed, harmonizing land use with improvements in active transportation infrastructure. However, in Latin America, urban development continues to favor fragmentation, with growth that relies on long commutes and encourages reliance on private vehicles, undermining public transport systems and limiting access to sustainable modes. This study evaluates pedestrian accessibility in the city of Manizales (Colombia), applying a cumulative opportunities potential (COP) model for six types of facilities. The results show a concentration of services in central areas and a marked spatial inequality affecting urban peripheries. To reduce the socio-spatial gap and improve the quality of life, it is suggested to promote proximity policies that improve the distribution of opportunities and strengthen walking access for all inhabitants. © Cerebration Science Publishing. © 2025 by the authors.","geographic accessibility; proximity; spatial equity; urban mobility; urban services","Caldas; Colombia; Manizales; accessibility; modeling; spatial analysis; urban planning; urban transport; walking","J.E. Aristizábal Salazar; Grupo de Investigación en Movilidad Sostenible – GIMS, Universidad Nacional de Colombia Sede Manizales, Manizales, 170004, Colombia; email: jaristizabals@unal.edu.co","","Cerebration Science Publishing","23639075","","","","English","Future Cities Environ.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105016489305"
